"PLAYER" "TEAM" "POS" "GP" "G" "A" "P" "P.GP" "X..." "Sh" "Sh." "TOI" "EXP..YEAR" "CAP.HIT"
"Michael Sgarbossa" "WSH" "C" 25 4 3 7 0.28 "0" "27" "0.15" "10:58" 2025 775000
"Vinni Lettieri" "MIN" "C, RW" 46 5 4 9 0.2 "-7" "47" "0.11" "09:35" 2025 775000
"Axel Jonsson-Fjällby" "WPG" "LW" 26 2 3 5 0.19 "6" "23" "0.09" "08:06" 2025 775000
"David Gustafsson" "WPG" "LW, C" 39 3 4 7 0.18 "1" "27" "0.11" "09:15" 2024 775000
"Trevor Lewis" "LAK" "RW, C" 82 8 8 16 0.2 "7" "130" "0.06" "11:38" 2024 775000
"Devin Shore" "SEA" "LW, C, RW" 21 1 3 4 0.19 "3" "15" "0.07" "08:00" 2024 775000
"Mark Jankowski" "NSH" "C, LW" 32 7 8 15 0.47 "11" "48" "0.15" "12:40" 2024 775000
"Mitchell Chaffee" "TBL" "RW" 30 4 3 7 0.23 "2" "27" "0.15" "11:17" 2024 775000
"Oskar Sundqvist" "STL" "RW, C" 71 6 15 21 0.3 "-6" "68" "0.09" "13:14" 2024 775000
"Danton Heinen" "BOS" "LW, RW" 74 17 19 36 0.49 "16" "119" "0.14" "14:27" 2024 775000
"Mason Shaw" "MIN" "LW, C" 20 1 2 3 0.15 "0" "21" "0.05" "08:11" 2024 775000
"Dominic Toninato" "WPG" "C, LW" 15 1 4 5 0.33 "7" "12" "0.08" "10:11" 2025 775000
"Paul Cotter" "VGK" "LW, RW" 76 7 18 25 0.33 "-11" "100" "0.07" "12:43" 2026 775000
"Fredrik Olofsson" "COL" "C, LW" 57 3 6 9 0.16 "-5" "45" "0.07" "09:45" 2024 775000
"Connor Brown" "EDM" "RW, LW" 71 4 8 12 0.17 "-8" "108" "0.04" "12:47" 2024 775000
"Chris Wagner" "COL" "RW, C" 13 1 1 2 0.15 "3" "16" "0.06" "07:27" 2024 775000
"Jesper Boqvist" "BOS" "C, LW" 47 6 8 14 0.3 "12" "51" "0.12" "11:09" 2024 775000
"Sam Gagner" "EDM" "RW, C" 28 5 5 10 0.36 "-2" "48" "0.1" "10:12" 2024 775000
"Brett Leason" "ANA" "RW" 68 11 11 22 0.32 "-7" "91" "0.12" "13:00" 2024 775000
"Nathan Walker" "STL" "LW" 45 7 6 13 0.29 "-1" "43" "0.16" "10:48" 2024 775000
"Michael McCarron" "NSH" "RW, C" 70 12 10 22 0.31 "4" "94" "0.13" "12:46" 2024 775000
"Jaret Anderson-Dolan" "NSH" "C, LW, RW" 31 1 3 4 0.13 "-5" "31" "0.03" "11:02" 2024 775000
"Mitchell Stephens" "MTL" "C" 23 2 1 3 0.13 "2" "16" "0.13" "09:03" 2024 775000
"Max Willman" "NJD" "LW" 18 3 1 4 0.22 "1" "17" "0.18" "08:19" 2024 775000
"Joel Kiviranta" "COL" "RW, LW" 56 3 6 9 0.16 "-1" "48" "0.06" "09:50" 2024 775000
"Hudson Fasching" "NYI" "RW" 45 4 10 14 0.31 "-7" "41" "0.1" "12:02" 2025 775000
"Lukas Rousek" "BUF" "RW" 15 0 2 2 0.13 "-1" "4" "0" "10:37" 2025 775000
